City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Snow inches (last 3 hours),Rain inches (last 3 hours)
0,Tuktoyaktuk,CA,2020-02-23 17:51:36,69.45,-133.04,-7.6,83,90,13.87,light snow,0.0,0.0
1,Severo-Kurilsk,RU,2020-02-23 17:55:57,50.68,156.12,23.5,96,100,37.63,snow,3.06,0.0
2,Atuona,PF,2020-02-23 17:55:57,-9.8,-139.03,81.3,78,20,15.3,light rain,0.0,0.5
3,Hermanus,ZA,2020-02-23 17:55:58,-34.42,19.23,66.0,70,0,5.01,clear sky,0.0,0.0
4,Altamira,BR,2020-02-23 17:52:45,-3.2,-52.21,82.4,83,75,8.05,broken clouds,0.0,0.0
5,Mataura,NZ,2020-02-23 17:55:58,-46.19,168.86,51.01,91,93,1.99,overcast clouds,0.0,0.0
6,Kapaa,US,2020-02-23 17:51:41,22.08,-159.32,66.2,88,1,9.17,clear sky,0.0,0.0
7,Bereda,ES,2020-02-23 17:53:46,43.27,-7.54,54.0,81,20,4.7,few clouds,0.0,0.0
8,Bon Accord,CA,2020-02-23 17:55:59,53.83,-113.42,28.0,52,1,8.05,clear sky,0.0,0.0
9,Hilo,US,2020-02-23 17:51:10,19.73,-155.09,68.0,68,1,6.93,clear sky,0.0,0.0
10,Avarua,CK,2020-02-23 17:55:59,-21.21,-159.78,80.6,94,100,6.93,light rain,0.0,0.0
11,Avanigadda,IN,2020-02-23 17:56:00,16.02,80.92,75.2,88,78,2.24,mist,0.0,0.0
12,Kaitong,CN,2020-02-23 17:56:00,44.81,123.15,21.74,65,0,9.82,clear sky,0.0,0.0
13,Sept-Iles,CA,2020-02-23 17:53:10,50.2,-66.38,35.01,89,75,9.17,light snow,0.0,0.0
14,Oum Hadjer,TD,2020-02-23 17:56:00,13.3,19.7,80.98,10,0,12.66,clear sky,0.0,0.0
15,Bonthe,SL,2020-02-23 17:56:00,7.53,-12.51,84.92,69,19,13.18,few clouds,0.0,0.0
16,Ostrovnoy,RU,2020-02-23 17:56:01,68.05,39.51,30.78,94,100,17.78,light snow,0.63,0.0
17,Tenenkou,ML,2020-02-23 17:56:01,14.46,-4.92,97.02,7,11,11.18,few clouds,0.0,0.0
18,Makakilo City,US,2020-02-23 17:52:02,21.35,-158.09,73.4,100,1,0.45,clear sky,0.0,0.0
19,Yellowknife,CA,2020-02-23 17:56:02,62.46,-114.35,-8.0,69,40,8.05,scattered clouds,0.0,0.0
20,Inyonga,TZ,2020-02-23 17:56:02,-6.72,32.07,70.12,92,98,1.66,light rain,0.0,1.12
21,Torbay,CA,2020-02-23 17:51:51,47.67,-52.73,37.99,69,40,24.16,scattered clouds,0.0,0.0
22,Sobolevo,RU,2020-02-23 17:56:02,54.43,31.9,34.09,81,79,12.53,broken clouds,0.0,0.0
23,Bluff,NZ,2020-02-23 17:56:03,-46.6,168.33,51.01,91,40,1.99,scattered clouds,0.0,0.0
24,Rikitea,PF,2020-02-23 17:51:17,-23.12,-134.97,78.37,74,2,8.25,light rain,0.0,0.44
25,Hobart,AU,2020-02-23 17:52:23,-42.88,147.33,57.2,76,99,2.24,overcast clouds,0.0,0.0
26,Rantepao,ID,2020-02-23 17:56:03,-2.97,119.9,68.25,98,100,0.74,moderate rain,0.0,4.13
27,Ushuaia,AR,2020-02-23 17:55:04,-54.8,-68.3,50.0,76,75,9.17,light intensity drizzle,0.0,0.0
28,Isangel,VU,2020-02-23 17:52:53,-19.55,169.27,77.16,78,29,13.98,scattered clouds,0.0,0.0
29,Jamestown,US,2020-02-23 17:56:04,42.1,-79.24,48.2,32,1,13.87,clear sky,0.0,0.0
30,Puerto Ayora,EC,2020-02-23 17:51:11,-0.74,-90.35,84.2,74,20,12.75,few clouds,0.0,0.0
31,Marawi,PH,2020-02-23 17:55:34,8.0,124.29,75.99,84,38,5.01,scattered clouds,0.0,0.0
32,Chuy,UY,2020-02-23 17:52:13,-33.7,-53.46,71.78,59,66,4.61,broken clouds,0.0,0.0
33,Ribeira Grande,PT,2020-02-23 17:56:05,38.52,-28.7,62.6,67,40,5.82,scattered clouds,0.0,0.0
34,Upernavik,GL,2020-02-23 17:52:25,72.79,-56.15,-16.91,80,0,6.64,clear sky,0.0,0.0
35,Cidreira,BR,2020-02-23 17:56:06,-30.18,-50.21,71.91,62,1,12.26,clear sky,0.0,0.0
36,Georgetown,MY,2020-02-23 17:56:06,5.41,100.34,80.6,65,20,10.29,few clouds,0.0,0.0
37,Leningradskiy,RU,2020-02-23 17:51:09,69.38,178.42,-12.39,75,100,6.31,overcast clouds,0.0,0.0
38,Chokurdakh,RU,2020-02-23 17:51:35,70.63,147.92,-22.4,99,96,3.74,overcast clouds,0.0,0.0
39,Geraldton,AU,2020-02-23 17:56:07,-28.77,114.6,71.6,94,0,2.24,clear sky,0.0,0.0
40,College,US,2020-02-23 17:56:07,64.86,-147.8,-4.0,75,1,0.98,clear sky,0.0,0.0
41,Mar Del Plata,AR,2020-02-23 17:54:38,-38.0,-57.56,81.0,50,20,12.75,few clouds,0.0,0.0
42,Albany,US,2020-02-23 17:49:46,42.6,-73.97,51.01,33,40,5.82,scattered clouds,0.0,0.0
43,Bethel,US,2020-02-23 17:56:08,41.37,-73.41,55.0,29,1,10.29,clear sky,0.0,0.0
44,Auki,SB,2020-02-23 17:56:08,-8.77,160.7,82.81,79,5,7.23,light rain,0.0,0.87
45,Castro,BR,2020-02-23 17:56:08,-24.79,-50.01,79.45,39,100,1.3,overcast clouds,0.0,0.0
46,Victoria,HK,2020-02-23 17:56:09,22.29,114.16,71.01,59,66,20.8,broken clouds,0.0,0.0
47,Aloleng,PH,2020-02-23 17:56:09,16.13,119.78,72.82,69,79,7.96,broken clouds,0.0,0.0
48,Taksimo,RU,2020-02-23 17:56:09,56.34,114.88,3.38,82,98,4.59,overcast clouds,0.0,0.0
49,Rio Grande,BR,2020-02-23 17:53:48,-32.03,-52.1,78.8,47,20,9.17,few clouds,0.0,0.0
50,Sitka,US,2020-02-23 17:52:31,57.05,-135.33,33.8,86,90,16.02,moderate rain,0.0,0.0
51,Vaini,TO,2020-02-23 17:56:10,-21.2,-175.2,77.0,100,75,6.93,broken clouds,0.0,0.0
52,Tocopilla,CL,2020-02-23 17:56:10,-22.09,-70.2,73.71,47,5,14.97,clear sky,0.0,0.0
53,Ponta Do Sol,PT,2020-02-23 17:52:15,32.67,-17.1,71.01,60,20,18.34,few clouds,0.0,0.0
