City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
3,Hermanus,ZA,66.0,-34.42,19.23,clear sky,Misty Waves Boutique Hotel
4,Altamira,BR,82.4,-3.2,-52.21,broken clouds,Requinte Hotel
5,Mataura,NZ,51.01,-46.19,168.86,overcast clouds,Ellie's Villa
6,Kapaa,US,66.2,22.08,-159.32,clear sky,Sheraton Kauai Resort at Coconut Beach
7,Bereda,ES,54.0,43.27,-7.54,few clouds,Pazo de Verdes
8,Bon Accord,CA,28.0,53.83,-113.42,clear sky,
9,Hilo,US,68.0,19.73,-155.09,clear sky,Hilo Hawaiian Hotel
10,Avarua,CK,80.6,-21.21,-159.78,light rain,Paradise Inn
11,Avanigadda,IN,75.2,16.02,80.92,mist,AP Camping
12,Kaitong,CN,21.74,44.81,123.15,clear sky,Jinhe Fashion Hotel
13,Sept-Iles,CA,35.01,50.2,-66.38,light snow,Comfort Inn
14,Oum Hadjer,TD,80.98,13.3,19.7,clear sky,
15,Bonthe,SL,84.92,7.53,-12.51,few clouds,Bonthe Holiday Village
18,Makakilo City,US,73.4,21.35,-158.09,clear sky,Marriott's Ko Olina Beach Club
21,Torbay,CA,37.99,47.67,-52.73,scattered clouds,Gallows Cove
22,Sobolevo,RU,34.09,54.43,31.9,broken clouds,
23,Bluff,NZ,51.01,-46.6,168.33,scattered clouds,Bluff Homestead - Guesthouse & Campervan Park
25,Hobart,AU,57.2,-42.88,147.33,overcast clouds,St Ives Apartments
27,Ushuaia,AR,50.0,-54.8,-68.3,light intensity drizzle,Albatros Hotel
28,Isangel,VU,77.16,-19.55,169.27,scattered clouds,Volcano Sea View Tree House
29,Jamestown,US,48.2,42.1,-79.24,clear sky,Hampton Inn & Suites Jamestown
30,Puerto Ayora,EC,84.2,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
31,Marawi,PH,75.99,8.0,124.29,scattered clouds,Derogongan Residence
32,Chuy,UY,71.78,-33.7,-53.46,broken clouds,Nuevo Hotel Plaza
33,Ribeira Grande,PT,62.6,38.52,-28.7,scattered clouds,Quinta da Meia Eira
35,Cidreira,BR,71.91,-30.18,-50.21,clear sky,Novomar Pousada e Turismo Ltda
36,Georgetown,MY,80.6,5.41,100.34,few clouds,Cititel Penang
39,Geraldton,AU,71.6,-28.77,114.6,clear sky,Broadwater Mariner Resort
41,Mar Del Plata,AR,81.0,-38.0,-57.56,few clouds,Gran Hotel Mar del Plata habitaciones
42,Albany,US,51.01,42.6,-73.97,scattered clouds,
43,Bethel,US,55.0,41.37,-73.41,clear sky,Courtyard by Marriott Danbury
45,Castro,BR,79.45,-24.79,-50.01,overcast clouds,CHACARA BAILLY
46,Victoria,HK,71.01,22.29,114.16,broken clouds,Mini Hotel Central
47,Aloleng,PH,72.82,16.13,119.78,broken clouds,Agno Umbrella Rocks
48,Taksimo,RU,3.38,56.34,114.88,overcast clouds,"Gostinitsa ""Viktoriya"""
49,Rio Grande,BR,78.8,-32.03,-52.1,few clouds,Swan Express Rio Grande
50,Sitka,US,33.8,57.05,-135.33,moderate rain,Westmark Sitka
51,Vaini,TO,77.0,-21.2,-175.2,broken clouds,Keleti Beach Resort
52,Tocopilla,CL,73.71,-22.09,-70.2,clear sky,Hotel Galvarino
53,Ponta Do Sol,PT,71.01,32.67,-17.1,few clouds,Hotel do Campo
54,Ahipara,NZ,57.0,-35.17,173.17,clear sky,Ahipara Holiday Park
55,Viedma,AR,89.35,-40.81,-63.0,clear sky,Hotel casa crespo
56,Baykit,RU,9.82,61.67,96.37,overcast clouds,Gostinitsa
57,Portoferraio,IT,57.99,42.81,10.31,broken clouds,Hotel Villa Ombrosa
58,Port Alfred,ZA,64.99,-33.59,26.89,broken clouds,The Halyards Hotel
59,Saldanha,ZA,86.0,-33.01,17.94,clear sky,Blue Bay Lodge
60,Pisco,PE,78.01,-13.7,-76.22,scattered clouds,Hostal San Isidro Oficial
61,Port Elizabeth,ZA,64.4,-33.92,25.57,few clouds,39 On Nile Guest House
65,Nikolskoye,RU,37.4,59.7,30.79,light intensity shower rain,Tourist House - Sablino
67,Palana,RU,3.15,59.12,159.97,overcast clouds,
68,Cayenne,GF,84.2,4.93,-52.33,broken clouds,Hôtel Le Dronmi
69,Atambua,ID,75.07,-9.11,124.89,scattered clouds,Pondok Pesantren Al Muhajirin Atambua
70,Taketa,JP,39.0,32.97,131.38,clear sky,いっぷく茶屋
71,Diffa,NE,78.84,13.32,12.61,clear sky,ProDAF/Diffa
72,Nemuro,JP,28.53,43.32,145.57,broken clouds,Hotel Nemuro Kaiyoutei
73,Airai,TL,66.96,-8.93,125.41,broken clouds,Juvinal Martin
74,Chistogorskiy,RU,14.47,53.98,87.38,broken clouds,
75,Lahad Datu,MY,72.84,5.03,118.33,few clouds,The 27th House
76,Ballina,AU,68.0,-28.87,153.57,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
77,Cabo San Lucas,MX,84.0,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
78,Bengkulu,ID,74.64,-3.8,102.27,few clouds,Grage Hotel Bengkulu
79,Lompoc,US,62.01,34.64,-120.46,overcast clouds,Holiday Inn Express Lompoc
81,Saint-Francois,FR,57.2,46.42,3.91,few clouds,Manoir Du Bonheur
82,East London,ZA,66.2,-33.02,27.91,few clouds,Tu Casa
83,Saskylakh,RU,6.31,71.92,114.08,overcast clouds,Saskylakh Aeroport
84,Lebu,CL,69.19,-37.62,-73.65,clear sky,Hostal Las Lilas
86,Taltal,CL,67.53,-25.4,-70.48,few clouds,Residencial Karime
88,Kodiak,US,17.6,57.79,-152.41,clear sky,Mission Lake Bed and Breakfast
