City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kathu,TH,2020-02-20 04:40:02,7.92,98.33,86.0,58,20,9.17
1,Bud,US,2020-02-20 04:40:02,39.45,-86.18,33.01,63,90,8.05
2,Port Hardy,CA,2020-02-20 04:40:02,50.7,-127.42,32.0,57,75,3.36
3,Busselton,AU,2020-02-20 04:40:02,-33.65,115.33,91.99,17,0,2.68
4,Puerto El Triunfo,SV,2020-02-20 04:40:03,13.28,-88.55,82.4,83,0,4.7
5,Hermanus,ZA,2020-02-20 04:40:03,-34.42,19.23,66.0,93,85,5.99
6,Bereda,ES,2020-02-20 04:40:03,43.27,-7.54,45.0,100,20,6.93
7,Port Alfred,ZA,2020-02-20 04:40:03,-33.59,26.89,73.0,91,37,7.67
8,Lonavale,IN,2020-02-20 04:40:04,18.75,73.42,89.01,51,67,3.36
9,Ushuaia,AR,2020-02-20 04:38:08,-54.8,-68.3,46.4,93,90,24.16
10,Hilo,US,2020-02-20 04:40:04,19.73,-155.09,73.4,73,75,8.05
11,Marang,MY,2020-02-20 04:40:05,5.21,103.21,86.0,74,40,8.05
12,Atuona,PF,2020-02-20 04:40:05,-9.8,-139.03,81.16,80,16,19.35
13,Kuybyshevo,RU,2020-02-20 04:35:41,47.81,38.91,34.02,96,100,8.59
14,Klaksvik,FO,2020-02-20 04:40:05,62.23,-6.59,37.4,69,100,26.4
15,Oksfjord,NO,2020-02-20 04:40:06,70.24,22.35,28.4,73,100,18.34
16,Mount Gambier,AU,2020-02-20 04:40:06,-37.83,140.77,64.4,55,90,11.41
17,Sumbe,AO,2020-02-20 04:40:07,-11.21,13.84,77.67,88,100,2.37
18,Yar-Sale,RU,2020-02-20 04:40:07,66.83,70.83,16.59,85,100,5.06
19,Port-Gentil,GA,2020-02-20 04:40:07,-0.72,8.78,80.22,83,100,8.55
20,Springdale,US,2020-02-20 04:38:15,36.19,-94.13,45.0,36,90,11.41
21,New Norfolk,AU,2020-02-20 04:40:08,-42.78,147.06,66.0,42,75,18.34
22,Rikitea,PF,2020-02-20 04:40:08,-23.12,-134.97,78.49,80,14,14.5
23,Olafsvik,IS,2020-02-20 04:40:08,64.89,-23.71,33.98,80,100,45.59
24,Torbat-E Jam,IR,2020-02-20 04:40:08,35.24,60.62,44.71,35,97,6.42
25,Cidreira,BR,2020-02-20 04:40:09,-30.18,-50.21,74.7,81,22,10.98
26,Nsanje,MW,2020-02-20 04:40:09,-16.92,35.26,78.55,87,32,3.06
27,Avarua,CK,2020-02-20 04:40:09,-21.21,-159.78,78.8,94,100,8.05
28,Vaini,TO,2020-02-20 04:40:09,-21.2,-175.2,82.4,65,40,6.93
29,Naifaru,MV,2020-02-20 04:40:09,5.44,73.37,82.56,76,1,20.69
30,Port Elizabeth,ZA,2020-02-20 04:40:10,-33.92,25.57,66.2,93,35,2.24
31,Hobyo,SO,2020-02-20 04:40:10,5.35,48.53,83.16,64,83,13.33
32,College,US,2020-02-20 04:40:11,64.86,-147.8,18.0,92,90,4.7
33,Taicheng,CN,2020-02-20 04:40:11,38.73,113.23,42.21,35,100,3.65
34,Bonavista,CA,2020-02-20 04:40:11,48.65,-53.11,30.0,68,54,18.01
35,Walvis Bay,NA,2020-02-20 04:40:11,-22.96,14.51,64.0,94,100,6.73
36,Hargeysa,SO,2020-02-20 04:40:12,9.56,44.06,73.13,42,99,9.66
37,Cherskiy,RU,2020-02-20 04:40:12,68.75,161.3,-20.24,97,99,4.99
38,Jamestown,US,2020-02-20 04:40:12,42.1,-79.24,26.6,73,90,8.05
39,Geraldton,AU,2020-02-20 04:40:12,-28.77,114.6,80.6,61,90,11.41
40,Castro,BR,2020-02-20 04:40:13,-24.79,-50.01,65.98,97,95,1.03
41,Cabo San Lucas,MX,2020-02-20 04:40:13,22.89,-109.91,70.0,63,5,3.36
42,Hobart,AU,2020-02-20 04:39:32,-42.88,147.33,66.0,42,75,18.34
43,Mataura,NZ,2020-02-20 04:40:14,-46.19,168.86,72.0,68,93,3.0
44,Sechura,PE,2020-02-20 04:40:14,-5.56,-80.82,74.26,85,33,6.46
45,Slave Lake,CA,2020-02-20 04:40:14,55.28,-114.77,8.6,84,1,2.24
46,Carutapera,BR,2020-02-20 04:40:15,-1.2,-46.02,79.83,85,100,14.58
47,Kingman,US,2020-02-20 04:40:15,35.19,-114.05,64.4,41,1,9.17
48,Iskateley,RU,2020-02-20 04:40:15,67.68,53.15,17.24,95,98,6.96
49,Anadyr,RU,2020-02-20 04:40:15,64.75,177.48,-18.0,68,8,4.47
50,Lago Da Pedra,BR,2020-02-20 04:40:16,-4.33,-45.17,73.31,98,100,2.17
51,Lakhipur,IN,2020-02-20 04:40:16,26.03,90.3,81.52,35,95,5.23
52,Lorengau,PG,2020-02-20 04:40:16,-2.02,147.27,83.26,74,92,14.14
53,Cape Town,ZA,2020-02-20 04:38:10,-33.93,18.42,69.01,100,75,17.22
54,Santa Rosa,PH,2020-02-20 04:40:17,14.31,121.11,86.0,48,20,17.22
55,Punta Arenas,CL,2020-02-20 04:40:17,-53.15,-70.92,46.4,71,75,14.99
56,Bredasdorp,ZA,2020-02-20 04:40:17,-34.53,20.04,69.8,94,79,8.05
57,Kaitangata,NZ,2020-02-20 04:40:17,-46.28,169.85,62.01,79,92,15.99
58,Daru,PG,2020-02-20 04:40:18,-9.08,143.21,85.51,82,84,7.76
59,Anzio,IT,2020-02-20 04:40:18,41.49,12.62,46.0,93,5,4.7
60,Yellowknife,CA,2020-02-20 04:40:18,62.46,-114.35,8.6,84,40,10.29
61,Hithadhoo,MV,2020-02-20 04:40:18,-0.6,73.08,82.92,78,28,16.15
62,Thompson,CA,2020-02-20 04:37:11,55.74,-97.86,5.0,60,90,13.87
63,Barrow,US,2020-02-20 04:40:19,71.29,-156.79,-2.2,77,90,6.93
